Iteration;bike_travel;bike_wait;car_travel;car_wait;pt_travel;pt_wait;stageActivity_travel;stageActivity_wait;walk_travel;walk_wait
0;97;0;1433;0;3866;0;0;0;481;0
1;168;0;1510;0;3729;0;0;0;1159;0
2;192;0;1518;0;3702;0;0;0;1415;0
3;215;0;1502;0;3677;0;0;0;1714;0
4;232;0;1528;0;3664;0;0;0;1892;0
5;223;0;1532;0;3690;0;0;0;2033;0
6;216;0;1521;0;3702;0;0;0;2134;0
7;205;0;1532;0;3698;0;0;0;2199;0
8;216;0;1556;0;3689;0;0;0;2260;0
9;230;0;1524;0;3701;0;0;0;2302;0
10;229;0;1526;0;3695;0;0;0;2329;0
11;204;0;1572;0;3681;0;0;0;2460;0
12;198;0;1569;0;3739;0;0;0;2377;0
13;205;0;1559;0;3740;0;0;0;2441;0
14;238;0;1521;0;3729;0;0;0;2374;0
15;212;0;1566;0;3749;0;0;0;2402;0
16;218;0;1570;0;3769;0;0;0;2151;0
17;209;0;1572;0;3777;0;0;0;2363;0
18;199;0;1559;0;3808;0;0;0;2329;0
19;195;0;1551;0;3803;0;0;0;2355;0
20;187;0;1572;0;3790;0;0;0;2391;0
21;144;0;1561;0;3850;0;0;0;2231;0
22;155;0;1535;0;3851;0;0;0;2254;0
23;148;0;1568;0;3882;0;0;0;2156;0
24;149;0;1565;0;3864;0;0;0;2210;0
25;164;0;1575;0;3888;0;0;0;2113;0
26;154;0;1555;0;3901;0;0;0;2089;0
27;135;0;1575;0;3924;0;0;0;2005;0
28;151;0;1547;0;3940;0;0;0;1922;0
29;138;0;1580;0;3971;0;0;0;1802;0
30;148;0;1526;0;3947;0;0;0;1851;0
31;121;0;1566;0;3988;0;0;0;1743;0
32;137;0;1524;0;3981;0;0;0;1782;0
33;161;0;1520;0;4008;0;0;0;1759;0
34;123;0;1541;0;3999;0;0;0;1819;0
35;132;0;1529;0;4022;0;0;0;1757;0
36;126;0;1530;0;4044;0;0;0;1771;0
37;123;0;1536;0;4023;0;0;0;1759;0
38;129;0;1501;0;4035;0;0;0;1778;0
39;108;0;1541;0;4075;0;0;0;1478;0
40;128;0;1537;0;4040;0;0;0;1674;0
41;138;0;1518;0;4069;0;0;0;1581;0
42;127;0;1536;0;4063;0;0;0;1654;0
43;129;0;1519;0;4073;0;0;0;1658;0
44;98;0;1520;0;4100;0;0;0;1652;0
45;120;0;1518;0;4105;0;0;0;1557;0
46;133;0;1519;0;4092;0;0;0;1631;0
47;116;0;1535;0;4108;0;0;0;1469;0
48;142;0;1539;0;4088;0;0;0;1413;0
49;131;0;1523;0;4111;0;0;0;1537;0
50;123;0;1521;0;4123;0;0;0;1459;0
