Iteration;bike;car;pt;walk
0;1273;61276;140413;1445
1;2183;67251;137887;3480
2;2499;69474;137381;4249
3;2787;69890;136831;5146
4;2993;71777;136650;5681
5;2893;72601;137227;6103
6;2796;73224;137386;6406
7;2654;73194;137447;6601
8;2806;74490;137190;6784
9;2999;74105;137347;6911
10;2984;74167;137256;6992
11;2653;76565;136949;7383
12;2573;77437;138097;7135
13;2662;78034;138230;7325
14;3081;75990;137978;7126
15;2750;79348;138318;7210
16;2840;78897;138747;6456
17;2725;78928;138863;7094
18;2588;79058;139440;6992
19;2546;77960;139325;7067
20;2434;80139;139054;7177
21;1860;79101;140231;6695
22;1996;79429;140312;6766
23;1905;80534;140889;6472
24;1923;79214;140530;6633
25;2138;80808;141003;6342
26;2000;79952;141194;6269
27;1748;81375;141646;6019
28;1969;80582;142016;5770
29;1803;83124;142621;5410
30;1933;78952;142162;5556
31;1574;81220;143080;5231
32;1779;79912;142927;5349
33;2091;80050;143410;5279
34;1580;80727;143280;5459
35;1710;80700;143681;5274
36;1631;81048;144171;5316
37;1596;81269;143734;5281
38;1672;79766;143884;5338
39;1400;81096;144702;4436
40;1652;81467;144130;5025
41;1799;81112;144726;4747
42;1650;81614;144563;4964
43;1669;80348;144635;4977
44;1265;81542;145215;4958
45;1560;81442;145300;4674
46;1719;81120;145045;4897
47;1517;82491;145404;4409
48;1828;82365;145041;4242
49;1700;81607;145410;4614
50;1599;82044;145629;4379
