iteration;avg_executed;avg_worst;avg_average;avg_best
0;69.40650264095966;69.40650264095966;69.40650264095966;69.40650264095966
1;64.01222028992733;52.269657438075384;67.4143235937084;82.55898974934203
2;63.38018773369237;34.39628341578951;64.09656742773363;91.00115646693192
3;61.5871332055026;14.614543888997241;59.14864362109521;95.90945754436444
4;55.64996299709305;-7.058849289173488;53.59776576992514;100.71523922460445
5;61.20398527865927;-24.105593873046825;51.24164413934692;105.67030844213414
6;62.916262901356916;-39.88781900727546;48.193391389097194;108.41962828051699
7;63.84904048268583;-53.052095522724926;45.294178666753616;109.59956622566321
8;65.51337370182004;-62.91758492598837;44.25030393446369;111.27056785578355
9;69.46070993039073;-69.18091576502428;44.574812215776646;114.32849694340027
10;70.28991458729564;-74.6076137827;44.376209569870966;113.85006731270734
11;65.88400140861384;-77.90652531584512;45.169951761907924;114.43904500357688
12;72.55088914915562;-74.57078969856477;48.31707075310042;116.51275784234008
13;77.29611469100887;-64.9444912049134;52.24688433309359;117.25358197548478
14;76.68400218288615;-58.96248818397352;55.90337485275746;117.80976848241741
15;76.0729142325801;-54.59366718950062;58.711666103529296;118.59015921753938
16;76.35026295802535;-49.628154856633294;61.63266844203571;118.61787175583267
17;75.18455354229138;-38.6063709484844;65.51144384720719;118.69195448816716
18;75.52498915323459;-28.00178982259336;68.8028353328536;118.65359949537417
19;78.18059792168854;-20.733865269694746;72.3843848389591;118.64000680728424
20;84.02676220395519;-9.717177648722657;76.9270498078437;119.05886725166913
