iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;08:30:56;08:30:56;08:30:56;;;08:30:56;08:30:56;08:30:57;08:30:57;08:30:57;08:30:57;08:30:57;08:31:09;08:31:09;08:31:09;08:31:09;08:31:09;08:31:09;08:31:11;08:31:11;;00:00:00;;00:00:00;00:00:01;00:00:00;00:00:12;00:00:00;00:00:00;00:00:01;00:00:14
1;08:31:11;08:31:11;08:31:11;08:31:11;08:31:24;08:31:24;08:31:24;08:31:26;08:31:26;08:31:26;08:31:26;08:31:26;08:31:40;08:31:40;08:31:40;08:31:40;08:31:40;08:31:40;08:31:43;08:31:43;;00:00:00;00:00:13;00:00:01;00:00:01;00:00:00;00:00:13;00:00:00;00:00:00;00:00:02;00:00:32
2;08:31:43;08:31:43;08:31:43;08:31:43;08:32:01;08:32:01;;;08:32:02;08:32:02;08:32:02;08:32:02;08:32:13;08:32:13;08:32:13;08:32:13;08:32:13;08:32:13;08:32:15;08:32:15;;00:00:00;00:00:18;;00:00:00;00:00:00;00:00:11;00:00:00;00:00:00;00:00:01;00:00:32
3;08:32:15;08:32:15;08:32:15;08:32:15;08:32:38;08:32:38;;;08:32:39;08:32:39;08:32:39;08:32:39;08:32:54;08:32:54;08:32:54;08:32:54;08:32:54;08:32:54;08:32:56;08:32:56;;00:00:00;00:00:23;;00:00:00;00:00:00;00:00:15;00:00:00;00:00:00;00:00:01;00:00:40
4;08:32:56;08:32:56;08:32:56;08:32:56;08:33:15;08:33:15;;;08:33:15;08:33:15;08:33:16;08:33:16;08:33:29;08:33:29;08:33:29;08:33:29;08:33:29;08:33:29;08:33:30;08:33:30;;00:00:00;00:00:18;;00:00:00;00:00:00;00:00:12;00:00:00;00:00:00;00:00:01;00:00:33
5;08:33:30;08:33:30;08:33:30;08:33:30;08:33:45;08:33:45;;;08:33:45;08:33:45;08:33:45;08:33:45;08:33:52;08:33:52;08:33:52;08:33:52;08:33:52;08:33:52;08:34:02;08:34:02;;00:00:00;00:00:14;;00:00:00;00:00:00;00:00:07;00:00:00;00:00:00;00:00:10;00:00:32
6;08:34:02;08:34:02;08:34:03;08:34:03;08:34:24;08:34:24;;;08:34:24;08:34:24;08:34:25;08:34:25;08:34:37;08:34:37;08:34:37;08:34:37;08:34:37;08:34:37;08:34:47;08:34:47;;00:00:00;00:00:21;;00:00:00;00:00:00;00:00:11;00:00:00;00:00:00;00:00:10;00:00:44
7;08:34:47;08:34:47;08:34:48;08:34:48;08:35:00;08:35:00;;;08:35:00;08:35:00;08:35:01;08:35:01;08:35:11;08:35:11;08:35:11;08:35:11;08:35:11;08:35:11;08:35:23;08:35:23;;00:00:00;00:00:12;;00:00:00;00:00:00;00:00:10;00:00:00;00:00:00;00:00:11;00:00:35
8;08:35:23;08:35:23;08:35:24;08:35:24;08:35:38;08:35:38;;;08:35:38;08:35:38;08:35:39;08:35:39;08:35:50;08:35:50;08:35:50;08:35:50;08:35:50;08:35:50;08:36:01;08:36:01;;00:00:00;00:00:14;;00:00:00;00:00:00;00:00:11;00:00:00;00:00:00;00:00:10;00:00:37
9;08:36:01;08:36:01;08:36:01;08:36:01;08:36:15;08:36:15;;;08:36:15;08:36:15;08:36:15;08:36:15;08:36:24;08:36:24;08:36:24;08:36:24;08:36:24;08:36:24;08:36:34;08:36:34;;00:00:00;00:00:13;;00:00:00;00:00:00;00:00:08;00:00:00;00:00:00;00:00:10;00:00:32
