ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;11868.713818276745;20662.58979714364
1;10647.348494880556;22142.24413366649
2;10799.8712265563;22662.988846693785
3;10771.02021581716;22379.580356409013
4;11069.43107617965;22669.901336810282
5;11189.170700612998;22847.844009749202
6;11248.04277243626;23146.744731272513
7;11333.536544866154;22794.244516178136
8;11150.173878779005;22291.25061988146
9;11343.855097757629;22950.319407055762
10;11443.95771567658;23013.45100617821
11;11435.984002804866;22712.88985251489
12;11373.861803009786;22701.047804667152
13;11681.728596613804;22677.41106555628
14;11778.725550460822;22990.990974793465
15;11655.801951337739;22700.74830897667
16;11757.519329043911;22990.328901953766
