iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;21:56:03;21:56:03;21:56:03;;;21:56:03;21:56:03;21:56:03;21:56:03;21:56:03;21:56:04;21:56:04;21:56:05;21:56:05;21:56:05;21:56:05;21:56:05;21:56:05;21:56:08;21:56:08;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:02;00:00:04
1;21:56:08;21:56:08;21:56:08;21:56:08;21:56:08;21:56:08;21:56:08;21:56:08;21:56:08;21:56:08;21:56:09;21:56:09;21:56:12;21:56:12;21:56:12;21:56:12;21:56:12;21:56:12;21:56:13;21:56:13;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:04
2;21:56:13;21:56:13;21:56:13;21:56:13;21:56:13;21:56:13;;;21:56:13;21:56:13;21:56:13;21:56:13;21:56:15;21:56:15;21:56:15;21:56:15;21:56:15;21:56:15;21:56:15;21:56:15;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
3;21:56:15;21:56:15;21:56:15;21:56:15;21:56:15;21:56:15;;;21:56:15;21:56:15;21:56:17;21:56:17;21:56:18;21:56:18;21:56:18;21:56:18;21:56:18;21:56:18;21:56:18;21:56:18;;00:00:00;00:00:00;;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:00;00:00:02
4;21:56:18;21:56:18;21:56:18;21:56:18;21:56:18;21:56:18;;;21:56:18;21:56:18;21:56:19;21:56:19;21:56:20;21:56:20;21:56:20;21:56:20;21:56:20;21:56:20;21:56:21;21:56:21;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
5;21:56:21;21:56:21;21:56:21;21:56:21;21:56:21;21:56:21;;;21:56:21;21:56:21;21:56:21;21:56:21;21:56:22;21:56:22;21:56:22;21:56:22;21:56:22;21:56:22;21:56:22;21:56:22;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
6;21:56:22;21:56:22;21:56:22;21:56:22;21:56:22;21:56:22;;;21:56:22;21:56:22;21:56:23;21:56:23;21:56:24;21:56:24;21:56:24;21:56:24;21:56:24;21:56:24;21:56:25;21:56:25;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
7;21:56:25;21:56:25;21:56:25;21:56:25;21:56:25;21:56:25;;;21:56:25;21:56:25;21:56:25;21:56:25;21:56:26;21:56:26;21:56:26;21:56:26;21:56:26;21:56:26;21:56:26;21:56:26;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
8;21:56:27;21:56:27;21:56:27;21:56:27;21:56:27;21:56:27;;;21:56:27;21:56:27;21:56:27;21:56:27;21:56:28;21:56:28;21:56:28;21:56:28;21:56:28;21:56:28;21:56:28;21:56:28;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
9;21:56:28;21:56:28;21:56:28;21:56:28;21:56:28;21:56:28;;;21:56:28;21:56:28;21:56:29;21:56:29;21:56:30;21:56:30;21:56:30;21:56:30;21:56:30;21:56:30;21:56:30;21:56:30;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
10;21:56:30;21:56:30;21:56:30;21:56:30;21:56:30;21:56:30;;;21:56:30;21:56:30;21:56:30;21:56:30;21:56:31;21:56:31;21:56:31;21:56:31;21:56:31;21:56:31;21:56:32;21:56:32;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
