Link Id	Count Station Id	MATSIM volumes	Count volumes	Normalized Relative Error
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
1264943000008f	palokestraat	0	1324	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
12976603090000f	rue_de_la_loi_15	0	1077	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
1502050000003f	bogaardenstraat	0	2703	1
