Link Id	Count Station Id	Hour	MATSIM volumes	Count volumes	Relative Error	Normalized Relative Error	GEH
1264943000008f	palokestraat	1	0	0	0	0	NaN
1264943000008f	palokestraat	2	0	0	0	0	NaN
1264943000008f	palokestraat	3	0	0	0	0	NaN
1264943000008f	palokestraat	4	0	0	0	0	NaN
1264943000008f	palokestraat	5	0	0	0	0	NaN
1264943000008f	palokestraat	6	0	0	0	0	NaN
1264943000008f	palokestraat	7	0	52	-1	1	10.198
1264943000008f	palokestraat	8	0	113	-1	1	15.033
1264943000008f	palokestraat	9	0	109	-1	1	14.765
1264943000008f	palokestraat	10	0	61	-1	1	11.045
1264943000008f	palokestraat	11	0	31	-1	1	7.874
1264943000008f	palokestraat	12	0	46	-1	1	9.592
1264943000008f	palokestraat	13	0	57	-1	1	10.677
1264943000008f	palokestraat	14	0	58	-1	1	10.77
1264943000008f	palokestraat	15	0	67	-1	1	11.576
1264943000008f	palokestraat	16	0	115	-1	1	15.166
1264943000008f	palokestraat	17	0	168	-1	1	18.33
1264943000008f	palokestraat	18	0	170	-1	1	18.439
1264943000008f	palokestraat	19	0	158	-1	1	17.776
1264943000008f	palokestraat	20	0	65	-1	1	11.402
1264943000008f	palokestraat	21	0	54	-1	1	10.392
1264943000008f	palokestraat	22	0	0	0	0	NaN
1264943000008f	palokestraat	23	0	0	0	0	NaN
1264943000008f	palokestraat	24	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	1	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	2	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	3	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	4	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	5	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	6	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	7	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	8	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	9	0	1077	-1	1	46.411
12976603090000f	rue_de_la_loi_15	10	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	11	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	12	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	13	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	14	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	15	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	16	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	17	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	18	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	19	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	20	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	21	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	22	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	23	0	0	0	0	NaN
12976603090000f	rue_de_la_loi_15	24	0	0	0	0	NaN
1502050000003f	bogaardenstraat	1	0	0	0	0	NaN
1502050000003f	bogaardenstraat	2	0	0	0	0	NaN
1502050000003f	bogaardenstraat	3	0	0	0	0	NaN
1502050000003f	bogaardenstraat	4	0	0	0	0	NaN
1502050000003f	bogaardenstraat	5	0	0	0	0	NaN
1502050000003f	bogaardenstraat	6	0	0	0	0	NaN
1502050000003f	bogaardenstraat	7	0	202	-1	1	20.1
1502050000003f	bogaardenstraat	8	0	241	-1	1	21.954
1502050000003f	bogaardenstraat	9	0	254	-1	1	22.539
1502050000003f	bogaardenstraat	10	0	222	-1	1	21.071
1502050000003f	bogaardenstraat	11	0	181	-1	1	19.026
1502050000003f	bogaardenstraat	12	0	150	-1	1	17.321
1502050000003f	bogaardenstraat	13	0	133	-1	1	16.31
1502050000003f	bogaardenstraat	14	0	108	-1	1	14.697
1502050000003f	bogaardenstraat	15	0	109	-1	1	14.765
1502050000003f	bogaardenstraat	16	0	142	-1	1	16.852
1502050000003f	bogaardenstraat	17	0	212	-1	1	20.591
1502050000003f	bogaardenstraat	18	0	196	-1	1	19.799
1502050000003f	bogaardenstraat	19	0	205	-1	1	20.248
1502050000003f	bogaardenstraat	20	0	191	-1	1	19.545
1502050000003f	bogaardenstraat	21	0	157	-1	1	17.72
1502050000003f	bogaardenstraat	22	0	0	0	0	NaN
1502050000003f	bogaardenstraat	23	0	0	0	0	NaN
1502050000003f	bogaardenstraat	24	0	0	0	0	NaN
