Iteration;bike_travel;bike_wait;car_travel;car_wait;pt_travel;pt_wait;stageActivity_travel;stageActivity_wait;walk_travel;walk_wait
0;2;0;0;0;0;0;0;0;0;0
1;2;0;0;0;0;0;0;0;0;0
2;2;0;0;0;0;0;0;0;0;0
3;2;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;10;0
5;2;0;0;0;0;0;0;0;0;0
6;0;0;1;0;1;0;0;0;0;0
7;0;0;1;0;0;0;0;0;10;0
8;0;0;1;0;1;0;0;0;0;0
9;0;0;1;0;1;0;0;0;0;0
10;0;0;1;0;1;0;0;0;0;0
11;0;0;1;0;1;0;0;0;0;0
12;2;0;0;0;1;0;0;0;0;0
13;2;0;0;0;0;0;0;0;0;0
14;0;0;0;0;0;0;0;0;10;0
15;2;0;0;0;0;0;0;0;0;0
16;2;0;0;0;0;0;0;0;0;0
17;2;0;0;0;0;0;0;0;0;0
18;2;0;0;0;0;0;0;0;0;0
19;2;0;0;0;0;0;0;0;0;0
20;2;0;0;0;0;0;0;0;0;0
21;2;0;0;0;0;0;0;0;0;0
22;2;0;0;0;0;0;0;0;0;0
23;2;0;0;0;0;0;0;0;0;0
24;0;0;0;0;1;0;0;0;0;0
25;2;0;0;0;0;0;0;0;0;0
26;0;0;0;0;1;0;0;0;0;0
27;2;0;0;0;0;0;0;0;0;0
28;4;0;0;0;0;0;0;0;1;0
29;2;0;0;0;0;0;0;0;0;0
30;2;0;0;0;0;0;0;0;0;0
31;2;0;0;0;1;0;0;0;0;0
32;2;0;0;0;1;0;0;0;0;0
33;2;0;0;0;1;0;0;0;0;0
34;2;0;0;0;1;0;0;0;0;0
35;2;0;0;0;1;0;0;0;0;0
36;0;0;0;0;2;0;0;0;0;0
37;2;0;0;0;1;0;0;0;0;0
38;0;0;0;0;0;0;0;0;10;0
39;2;0;0;0;0;0;0;0;0;0
40;2;0;0;0;0;0;0;0;0;0
41;2;0;0;0;0;0;0;0;0;0
42;2;0;0;0;0;0;0;0;0;0
43;2;0;0;0;0;0;0;0;0;0
44;0;0;1;0;1;0;0;0;0;0
45;2;0;0;0;1;0;0;0;0;0
46;0;0;0;0;1;0;0;0;10;0
47;2;0;0;0;1;0;0;0;0;0
48;2;0;0;0;1;0;0;0;0;0
49;2;0;0;0;1;0;0;0;0;0
50;2;0;0;0;1;0;0;0;0;0
