Iteration;bike;car;pt;walk
0;34;38;0;1
1;34;38;0;1
2;34;38;0;1
3;34;38;0;1
4;0;38;0;40
5;34;38;0;1
6;0;38;40;0
7;0;38;0;40
8;0;38;40;0
9;0;38;40;0
10;0;38;40;0
11;0;38;40;0
12;34;0;40;0
13;34;38;0;1
14;0;38;0;40
15;34;38;0;1
16;34;38;0;1
17;34;38;0;1
18;34;38;0;1
19;34;38;0;1
20;34;38;0;1
21;34;38;0;1
22;34;38;0;1
23;34;38;0;1
24;0;39;39;1
25;34;39;0;1
26;0;39;39;1
27;34;39;0;1
28;72;0;0;5
29;34;39;0;1
30;34;39;0;1
31;34;0;40;0
32;34;0;40;0
33;34;0;40;0
34;34;0;40;0
35;34;0;40;0
36;0;0;79;0
37;34;0;40;0
38;0;38;0;40
39;34;38;0;1
40;34;38;0;1
41;34;38;0;1
42;34;38;0;1
43;34;38;0;1
44;0;40;40;0
45;34;0;40;0
46;0;0;39;40
47;34;0;40;0
48;34;0;40;0
49;34;0;40;0
50;34;0;40;0
