iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
0;10:58:47;10:58:47;10:58:47;;;10:58:47;10:58:47;10:58:47;10:58:47;10:58:47;10:58:47;10:58:47;10:58:50;10:58:50;10:58:50;10:58:50;10:58:50;10:58:50;;;10:58:51;10:58:51;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:04
1;10:58:51;10:58:51;10:58:51;10:58:51;10:58:51;10:58:51;10:58:51;10:58:51;10:58:51;10:58:51;10:58:51;10:58:51;10:58:53;10:58:53;10:58:53;10:58:53;10:58:53;10:58:53;;;10:58:54;10:58:54;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:02
2;10:58:54;10:58:54;10:58:54;10:58:54;10:58:54;10:58:54;;;10:58:54;10:58:54;10:58:54;10:58:54;10:58:56;10:58:56;10:58:56;10:58:56;10:58:56;10:58:56;;;10:58:56;10:58:56;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:02
3;10:58:56;10:58:56;10:58:56;10:58:56;10:58:57;10:58:57;;;10:58:57;10:58:57;10:58:57;10:58:57;10:58:59;10:58:59;10:58:59;10:58:59;10:58:59;10:58:59;;;10:58:59;10:58:59;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
4;10:59:00;10:59:00;10:59:00;10:59:00;10:59:00;10:59:00;;;10:59:00;10:59:00;10:59:00;10:59:00;10:59:02;10:59:02;10:59:02;10:59:02;10:59:02;10:59:02;;;10:59:03;10:59:03;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:03
5;10:59:03;10:59:03;10:59:03;10:59:03;10:59:04;10:59:04;;;10:59:04;10:59:04;10:59:04;10:59:04;10:59:06;10:59:06;10:59:06;10:59:06;10:59:06;10:59:06;;;10:59:06;10:59:06;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:03
6;10:59:06;10:59:06;10:59:06;10:59:06;10:59:07;10:59:07;;;10:59:07;10:59:07;10:59:07;10:59:07;10:59:09;10:59:09;10:59:09;10:59:09;10:59:09;10:59:09;;;10:59:10;10:59:10;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:03
7;10:59:10;10:59:10;10:59:10;10:59:10;10:59:10;10:59:10;;;10:59:10;10:59:10;10:59:10;10:59:10;10:59:13;10:59:13;10:59:13;10:59:13;10:59:13;10:59:13;;;10:59:13;10:59:13;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
8;10:59:13;10:59:13;10:59:13;10:59:13;10:59:14;10:59:14;;;10:59:14;10:59:14;10:59:14;10:59:14;10:59:16;10:59:16;10:59:16;10:59:16;10:59:16;10:59:16;;;10:59:17;10:59:17;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
9;10:59:17;10:59:17;10:59:17;10:59:17;10:59:17;10:59:17;;;10:59:17;10:59:17;10:59:18;10:59:18;10:59:20;10:59:20;10:59:20;10:59:20;10:59:20;10:59:20;;;10:59:21;10:59:21;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
