ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;6148.003867300039;18444.011601900118
1;6148.003867300039;18444.011601900118
2;6148.003867300039;18444.011601900118
3;6145.4074127249105;18436.222238174727
4;9823.754313977131;19647.508627954263
5;6145.4074127249105;18436.222238174727
6;9734.775868716104;19469.551737432208
7;9734.775868716104;19469.551737432208
8;9734.775868716104;19469.551737432208
9;9734.775868716104;19469.551737432208
10;9734.775868716104;19469.551737432208
11;9734.775868716104;19469.551737432208
12;9241.484548707704;18482.969097415404
13;6145.4074127249105;18436.222238174727
14;9823.754313977131;19647.508627954263
15;6145.4074127249105;18436.222238174727
16;6145.4074127249105;18436.222238174727
17;6145.4074127249105;18436.222238174727
18;6145.4074127249105;18436.222238174727
19;6145.4074127249105;18436.222238174727
20;6145.4074127249105;18436.222238174727
21;6145.4074127249105;18436.222238174727
22;6145.4074127249105;18436.222238174727
23;6145.4074127249105;18436.222238174727
24;9849.293599741934;19698.587199483867
25;6162.433603234778;18487.30080970433
26;9849.293599741934;19698.587199483867
27;6162.433603234778;18487.30080970433
28;6405.071168464543;19215.21350539363
29;6162.433603234778;18487.30080970433
30;6162.433603234778;18487.30080970433
31;9241.484548707704;18482.969097415404
32;9241.484548707704;18482.969097415404
33;9241.484548707704;18482.969097415404
34;9241.484548707704;18482.969097415404
35;9241.484548707704;18482.969097415404
36;19694.25548719494;19694.25548719494
37;9241.484548707704;18482.969097415404
38;9823.754313977131;19647.508627954263
39;6145.4074127249105;18436.222238174727
40;6145.4074127249105;18436.222238174727
41;6145.4074127249105;18436.222238174727
42;6145.4074127249105;18436.222238174727
43;6145.4074127249105;18436.222238174727
44;9976.402485076904;19952.804970153808
45;9241.484548707704;18482.969097415404
46;19694.25548719494;19694.25548719494
47;9241.484548707704;18482.969097415404
48;9241.484548707704;18482.969097415404
49;9241.484548707704;18482.969097415404
50;9241.484548707704;18482.969097415404
